"","household","date","matched_household"
"1","MPS0010",2013.34246575342,"MPS0055"
"2","MPS0016",2013.32602739726,"MPS0055"
"3","MPS0037",2013.42465753425,"MPS0054"
"4","MPS0054",2013.43835616438,"MPS0075"
"5","MPS0055",2013.33150684932,"MPS0016"
"6","MPS0066",2013.44657534247,"MPS0054"
"7","MPS0075",2013.44109589041,"MPS0054"
"8","MPS0083",2013.48493150685,"MPS0098"
"9","MPS0088",2013.48767123288,"MPS0083"
"10","MPS0098",2013.49589041096,"MPS0083"
"11","MPS0099",2013.49589041096,"MPS0100"
"12","MPS0100",2013.48767123288,"MPS0098"
"13","MPS0102",2013.49863013699,"MPS0088"
"14","MPS0122",2013.56712328767,"MPS0102"
"15","MPS0166",2013.69589041096,"MPS0122"
"16","MPS0178",2013.78904109589,"MPS0222"
"17","MPS0222",2013.89863013699,"MPS0229"
"18","MPS0229",2013.8904109589,"MPS0222"
"19","MPS0246",2014.03287671233,"MPS0250"
"20","MPS0250",2014.03561643836,"MPS0246"
"21","MPS0290",2014.09863013699,"MPS0316"
"22","MPS0316",2014.17260273973,"MPS0290"
"23","MPS0390",2014.30410958904,"MPS0393"
"24","MPS0392",2014.2904109589,"MPS0390"
"25","MPS0393",2014.3095890411,"MPS0406"
"26","MPS0402",2014.30684931507,"MPS0406"
"27","MPS0406",2014.30410958904,"MPS0390"
"28","MPS0423",2014.32602739726,"MPS0433"
"29","MPS0433",2014.3397260274,"MPS0447"
"30","MPS0440",2014.34794520548,"MPS0433"
"31","MPS0443",2014.35890410959,"MPS0450"
"32","MPS0447",2014.35068493151,"MPS0433"
"33","MPS0450",2014.36438356164,"MPS0447"
"34","MPS0455",2014.36712328767,"MPS0443"
"35","MPS0465",2014.38082191781,"MPS0474"
"36","MPS0468",2014.38356164384,"MPS0474"
"37","MPS0474",2014.38630136986,"MPS0465"
"38","MPS0479",2014.39726027397,"MPS0496"
"39","MPS0487",2014.42191780822,"MPS0497"
"40","MPS0496",2014.40821917808,"MPS0479"
"41","MPS0497",2014.42191780822,"MPS0487"
