ID,household
0002_5,MPS0002
0003_9,MPS0003
0010_2,MPS0010
0010_3,MPS0010
0010_5,MPS0010
0016_3,MPS0016
0016_4,MPS0016
0018_1,MPS0018
0023_8,MPS0023
0026_2,MPS0026
0037_4,MPS0037
0037_5,MPS0037
0037_6,MPS0037
0039_5,MPS0039
0040_5,MPS0040
0042_1,MPS0042
0045_4,MPS0045
0052_4,MPS0052
0052_6,MPS0052
0053_6,MPS0053
0054_12,MPS0054
0054_8,MPS0054
0055_1,MPS0055
0055_12,MPS0055
0055_5,MPS0055
0061_4,MPS0061
0066_1,MPS0066
0066_3,MPS0066
0066_6,MPS0066
0075_2,MPS0075
0075_3,MPS0075
0078_1,MPS0078
0081_2,MPS0081
0082_7,MPS0082
0083_3,MPS0083
0083_4,MPS0083
0088_4,MPS0088
0088_5,MPS0088
0098_2,MPS0098
0098_5,MPS0098
0099_3,MPS0099
0099_5,MPS0099
0100_3,MPS0100
0100_4,MPS0100
0102_4,MPS0102
0102_6,MPS0102
0102_7,MPS0102
0106_6,MPS0106
0108_4,MPS0108
0114_5,MPS0114
0116_4,MPS0116
0122_3,MPS0122
0122_5,MPS0122
0124_1,MPS0124
0135_2,MPS0135
0139_1,MPS0139
0162_7,MPS0162
0165_5,MPS0165
0165_6,MPS0165
0166_5,MPS0166
0166_6,MPS0166
0173_6,MPS0173
0176_6,MPS0176
0178_4,MPS0178
0178_5,MPS0178
0178_6,MPS0178
0185_3,MPS0185
0187_9,MPS0187
0191_3,MPS0191
0194_C,MPS0194
0202_2,MPS0202
0206_4,MPS0206
0207_4,MPS0207
0217_3,MPS0217
0222_4,MPS0222
0222_5,MPS0222
0222_6,MPS0222
0229_6,MPS0229
0229_7,MPS0229
0240_4,MPS0240
0242_7,MPS0242
0246_2,MPS0246
0246_3,MPS0246
0250_2,MPS0250
0250_3,MPS0250
0250_5,MPS0250
0250_6,MPS0250
0251_5,MPS0251
0265_1,MPS0265
0269_6,MPS0269
0280_6,MPS0280
0284_3,MPS0284
0288_2,MPS0288
0289_7,MPS0289
0290_4,MPS0290
0290_5,MPS0290
0290_6,MPS0290
0290_7,MPS0290
0292_2,MPS0292
0292_3,MPS0292
0293_C,MPS0293
0297_3,MPS0297
0297_4,MPS0297
0303_2,MPS0303
0310_1,MPS0310
0312_5,MPS0312
0316_4,MPS0316
0316_5,MPS0316
0317_2,MPS0317
0328_4,MPS0328
0330_2,MPS0330
0330_4,MPS0330
0334_4,MPS0334
0335_2,MPS0335
0336_2,MPS0336
0337_2,MPS0337
0339_1,MPS0339
0339_2,MPS0339
0340_A,MPS0340
0348_2,MPS0348
0349_4,MPS0349
0350_2A,MPS0350
0350_4,MPS0350
0350_5,MPS0350
0351_3,MPS0351
0352_5,MPS0352
0354_3,MPS0354
0356_2,MPS0356
0360_1,MPS0360
0360_7,MPS0360
0365_4,MPS0365
0367_5,MPS0367
0369_2,MPS0369
0370_4,MPS0370
0370_8,MPS0370
0372_2,MPS0372
0374_4,MPS0374
0374_5,MPS0374
0374_7,MPS0374
0374_8,MPS0374
0374_9,MPS0374
0375_3,MPS0375
0375_4,MPS0375
0376_5,MPS0376
0378_4,MPS0378
0379_5,MPS0379
0380_8,MPS0380
0384_10,MPS0384
0384_11,MPS0384
0384_12,MPS0384
0384_13,MPS0384
0384_5,MPS0384
0388_4,MPS0388
0389_4,MPS0389
0390_2,MPS0390
0390_4,MPS0390
0390_5,MPS0390
0392_2,MPS0392
0392_5,MPS0392
0393_4,MPS0393
0393_5,MPS0393
0395_4,MPS0395
0396_4,MPS0396
0400_4,MPS0400
0400_6,MPS0400
0400_7,MPS0400
0400_8,MPS0400
0402_2,MPS0402
0402_4,MPS0402
0404_2,MPS0404
0406_2,MPS0406
0406_5,MPS0406
0411_3,MPS0411
0418_5,MPS0418
0422_4,MPS0422
0423_1,MPS0423
0423_2,MPS0423
0423_4,MPS0423
0424_3,MPS0424
0424_4,MPS0424
0425_2,MPS0425
0426_4,MPS0426
0427_5,MPS0427
0429_7,MPS0429
0432_5,MPS0432
0432_8,MPS0432
0433_3,MPS0433
0433_5,MPS0433
0433_6,MPS0433
0440_5,MPS0440
0440_7,MPS0440
0441_4,MPS0441
0443_5,MPS0443
0443_6,MPS0443
0446_4,MPS0446
0447_1,MPS0447
0447_3,MPS0447
0447_4,MPS0447
0447_5,MPS0447
0449_3,MPS0449
0450_1,MPS0450
0450_2,MPS0450
0450_3,MPS0450
0452_4,MPS0452
0454_4,MPS0454
0454_5,MPS0454
0454_6,MPS0454
0454_7,MPS0454
0454_8,MPS0454
0455_6,MPS0455
0455_7,MPS0455
0456_8,MPS0456
0458_5,MPS0458
0461_6,MPS0461
0465_4,MPS0465
0465_7,MPS0465
0468_1,MPS0468
0468_4,MPS0468
0468_5,MPS0468
0468_6,MPS0468
0471_3,MPS0471
0471_6,MPS0471
0471_7,MPS0471
0472_1,MPS0472
0474_2,MPS0474
0474_5,MPS0474
0474_7,MPS0474
0474_8,MPS0474
0477_2,MPS0477
0477_4,MPS0477
0477_5,MPS0477
0478_1,MPS0478
0478_2,MPS0478
0478_3,MPS0478
0478_5,MPS0478
0479_4,MPS0479
0479_7,MPS0479
0481_5,MPS0481
0486_1,MPS0486
0487_6,MPS0487
0487_7,MPS0487
0490_1,MPS0490
0490_2,MPS0490
0490_4,MPS0490
0490_5,MPS0490
0491_4,MPS0491
0493_8,MPS0493
0496_2,MPS0496
0496_5,MPS0496
0496_6,MPS0496
0497_5,MPS0497
0497_6,MPS0497
0500_6,MPS0500
